## Generation 0 
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.44580529, 1.43207945]), 'dist_end_effector': -2.834222122570161, 'collision': False}
{'pos_end_effector': array([ 4.6718582 , -1.88959439]), 'dist_end_effector': -6.934281419314633, 'collision': False}
{'pos_end_effector': array([1.87339508, 2.19951365]), 'dist_end_effector': -4.454329321542725, 'collision': False}
{'pos_end_effector': array([ 2.05079926, -4.10733549]), 'dist_end_effector': -5.76881092586044, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 3.59823955, -0.30594385]), 'dist_end_effector': -5.606593239243981, 'collision': False}
{'pos_end_effector': array([3.6973186 , 0.05095122]), 'dist_end_effector': -5.697546426831647, 'collision': False}
{'pos_end_effector': array([-1.35767972, -2.13780962]), 'dist_end_effector': -2.232219822310654, 'collision': False}
{'pos_end_effector': array([ 0.7522088 , -3.23615922]), 'dist_end_effector': -4.248220779577608, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.38128173, -2.19367834]), 'dist_end_effector': -2.726256317124186, 'collision': False}
{'pos_end_effector': array([2.01911912, 0.06645374]), 'dist_end_effector': -4.019668469815529, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.87928802,  2.96354813]), 'dist_end_effector': -3.168377004535141, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([0.23658392, 1.22315686]), 'dist_end_effector': -2.549199936033071, 'collision': False}
{'pos_end_effector': array([-0.51301419,  0.45957681]), 'dist_end_effector': -1.5563860822635243, 'collision': False}
{'pos_end_effector': array([1.79348635, 3.26845624]), 'dist_end_effector': -5.007329115523564, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.27034679, -0.59467772]), 'dist_end_effector': -3.3239749851170073, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 4.6718582 , -1.88959439]), 'dist_end_effector': -6.934281419314633, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 0.42292971, -1.11729047]), 'dist_end_effector': -2.6681316229681857, 'collision': False}
{'pos_end_effector': array([ 1.25897451, -2.20040054]), 'dist_end_effector': -3.9322611025562266, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 1.3514723 , -0.98822817]), 'dist_end_effector': -3.4941324360306645, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.10250597, 2.99850464]), 'dist_end_effector': -5.918327237361151, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
